year,sector,headcount
2006,private,3522
2006,public,8642
2007,private,3665
2007,public,8876
2008,private,3824
2008,public,9094
2009,private,3893
2009,public,9557
2010,private,4005
2010,public,9823
2011,private,4003
2011,public,10058
2012,private,4103
2012,public,10564
2013,private,4316
2013,public,10768
2014,private,4396
2014,public,11309
2015,private,4524
2015,public,11758
2016,private,4690
2016,public,12069
2017,private,4738
2017,public,12470
2018,private,4920
2018,public,12871
2019,private,5038
2019,public,13304
