profession,year,forecast_linear,forecast_loglin,forecast_holt,forecast_best,best_model,ci95_lower,ci95_upper
allied_health,2020,10742,11201,10795,11201,log_linear,9538,12864
allied_health,2021,11143,11803,11229,11803,log_linear,9450,14155
allied_health,2022,11544,12436,11662,12436,log_linear,9556,15317
allied_health,2023,11946,13105,12096,13105,log_linear,9778,16431
allied_health,2024,12347,13808,12530,13808,log_linear,10089,17528
allied_health,2025,12748,14550,12963,14550,log_linear,10476,18624
allied_health,2026,13149,15332,13397,15332,log_linear,10931,19732
allied_health,2027,13550,16155,13830,16155,log_linear,11451,20860
allied_health,2028,13951,17023,14264,17023,log_linear,12033,22013
allied_health,2029,14352,17938,14698,17938,log_linear,12678,23197
allied_health,2030,14753,18901,15131,18901,log_linear,13385,24417
dentists,2020,4091,4180,4116,4180,log_linear,3667,4693
dentists,2021,4207,4335,4238,4335,log_linear,3610,5061
dentists,2022,4324,4496,4361,4496,log_linear,3607,5385
dentists,2023,4440,4663,4483,4663,log_linear,3636,5689
dentists,2024,4557,4836,4605,4836,log_linear,3688,5983
dentists,2025,4674,5015,4728,5015,log_linear,3758,6272
dentists,2026,4790,5201,4850,5201,log_linear,3843,6558
dentists,2027,4907,5394,4972,5394,log_linear,3942,6845
dentists,2028,5024,5594,5094,5594,log_linear,4054,7133
dentists,2029,5140,5801,5217,5801,log_linear,4178,7424
dentists,2030,5257,6016,5339,6016,log_linear,4314,7718
doctors,2020,18642,18960,18682,18960,log_linear,17205,20715
doctors,2021,19120,19574,19184,19574,log_linear,17091,22056
doctors,2022,19597,20207,19686,20207,log_linear,17167,23246
doctors,2023,20075,20860,20188,20860,log_linear,17350,24370
doctors,2024,20553,21535,20691,21535,log_linear,17610,25459
doctors,2025,21031,22231,21193,22231,log_linear,17932,26530
doctors,2026,21509,22950,21695,22950,log_linear,18307,27594
doctors,2027,21987,23693,22197,23693,log_linear,18728,28657
doctors,2028,22465,24459,22700,24459,log_linear,19194,29724
doctors,2029,22943,25250,23202,25250,log_linear,19700,30800
doctors,2030,23421,26067,23704,26067,log_linear,20246,31888
nurses,2020,63220,64619,63114,64619,log_linear,56784,72454
nurses,2021,65285,67368,65221,67368,log_linear,56287,78448
nurses,2022,67349,70233,67328,70233,log_linear,56663,83804
nurses,2023,69414,73221,69435,73221,log_linear,57551,88891
nurses,2024,71478,76336,71542,76336,log_linear,58816,93855
nurses,2025,73543,79583,73649,79583,log_linear,60391,98774
nurses,2026,75607,82968,75757,82968,log_linear,62239,103697
nurses,2027,77671,86497,77864,86497,log_linear,64337,108658
nurses,2028,79736,90177,79971,90177,log_linear,66672,113681
nurses,2029,81800,94013,82078,94013,log_linear,69237,118789
nurses,2030,83865,98012,84185,98012,log_linear,72026,123997
pharmacists,2020,8294,8683,8339,8683,log_linear,7265,10101
pharmacists,2021,8615,9175,8688,9175,log_linear,7170,11180
pharmacists,2022,8937,9696,9038,9696,log_linear,7240,12151
pharmacists,2023,9258,10245,9388,10245,log_linear,7410,13081
pharmacists,2024,9579,10826,9737,10826,log_linear,7656,13997
pharmacists,2025,9901,11440,10087,11440,log_linear,7967,14913
pharmacists,2026,10222,12089,10437,12089,log_linear,8338,15840
pharmacists,2027,10543,12775,10786,12775,log_linear,8764,16785
pharmacists,2028,10865,13499,11136,13499,log_linear,9246,17752
pharmacists,2029,11186,14264,11486,14264,log_linear,9781,18748
pharmacists,2030,11507,15073,11836,15073,log_linear,10371,19776
