disease,year,forecast_loglinear,forecast_linear,forecast_holt,forecast_best,best_model,ci95_lower,ci95_upper
cancer,2020,161.92,160.53,161.66,161.92,log_linear,153.94,169.9
cancer,2021,160.38,158.73,160.04,160.38,log_linear,149.09,171.66
cancer,2022,158.84,156.92,158.42,158.84,log_linear,145.02,172.66
cancer,2023,157.33,155.11,156.8,157.33,log_linear,141.37,173.29
cancer,2024,155.83,153.31,155.18,155.83,log_linear,137.99,173.67
cancer,2025,154.34,151.5,153.56,154.34,log_linear,134.8,173.89
cancer,2026,152.87,149.7,151.94,152.87,log_linear,131.76,173.98
cancer,2027,151.41,147.89,150.32,151.41,log_linear,128.84,173.98
cancer,2028,149.96,146.09,148.7,149.96,log_linear,126.03,173.9
cancer,2029,148.53,144.28,147.08,148.53,log_linear,123.3,173.77
cancer,2030,147.12,142.47,145.46,147.12,log_linear,120.65,173.58
ischaemic_heart_disease,2020,53.99,34.57,31.39,31.39,holt_ets,4.88,57.9
ischaemic_heart_disease,2021,50.96,27.21,23.71,23.71,holt_ets,0.0,61.2
ischaemic_heart_disease,2022,48.1,19.85,16.03,16.03,holt_ets,0.0,61.94
ischaemic_heart_disease,2023,45.4,12.49,8.35,8.35,holt_ets,0.0,61.36
ischaemic_heart_disease,2024,42.85,5.13,0.66,0.66,holt_ets,0.0,59.94
ischaemic_heart_disease,2025,40.44,0.0,0.0,0.0,holt_ets,0.0,64.93
ischaemic_heart_disease,2026,38.17,0.0,0.0,0.0,holt_ets,0.0,70.14
ischaemic_heart_disease,2027,36.03,0.0,0.0,0.0,holt_ets,0.0,74.98
ischaemic_heart_disease,2028,34.0,0.0,0.0,0.0,holt_ets,0.0,79.53
ischaemic_heart_disease,2029,32.09,0.0,0.0,0.0,holt_ets,0.0,83.83
ischaemic_heart_disease,2030,30.29,0.0,0.0,0.0,holt_ets,0.0,87.92
stroke,2020,37.94,29.61,30.25,29.61,linear,16.43,42.79
stroke,2021,36.28,26.27,27.02,26.27,linear,7.63,44.91
stroke,2022,34.7,22.93,23.79,22.93,linear,0.1,45.76
stroke,2023,33.18,19.58,20.56,19.58,linear,0.0,45.95
stroke,2024,31.73,16.24,17.32,16.24,linear,0.0,45.71
stroke,2025,30.35,12.9,14.09,12.9,linear,0.0,45.19
stroke,2026,29.02,9.56,10.86,9.56,linear,0.0,44.43
stroke,2027,27.76,6.22,7.63,6.22,linear,0.0,43.5
stroke,2028,26.54,2.87,4.4,2.87,linear,0.0,42.41
stroke,2029,25.38,0.0,1.17,0.0,linear,0.0,41.68
stroke,2030,24.28,0.0,0.0,0.0,linear,0.0,43.71
